Trace_Wire_ID,Transaction_Date
903684,2010-04-11
093056,2017-10-05
292333,2014-08-26
193835,2016-06-17
058922,2012-05-03
433671,2014-11-18
276479,2003-06-09
781954,2013-09-29
448005,2017-12-26
816025,2018-09-12
764513,2008-08-23
378899,2003-01-19
994666,2007-07-15
906595,2008-12-23
317505,2015-04-28
587503,2005-04-22
450299,2005-06-28
645603,2013-10-27
660114,2010-04-12
471870,2010-08-04
172944,2008-02-27
394448,2017-03-31
260602,2006-10-17
046105,2013-02-10
636263,2018-03-31
275690,2011-09-05
143714,2011-11-28
842279,2014-04-16
353671,2006-01-16
665464,2006-09-21
250706,2008-12-30
385996,2003-02-19
213854,2005-05-29
115853,2011-08-11
372832,2012-07-06
696930,2013-11-01
245454,2013-05-17
192088,2011-07-19
538618,2015-08-23
864127,2005-07-20
479991,2012-10-23
090225,2014-11-15
905749,2005-09-30
924680,2007-02-26
115744,2014-05-20
024268,2018-11-30
515768,2016-05-24
365529,2017-11-20
950318,2017-11-20
718255,2017-11-20
984990,2017-11-21
298698,2013-08-08
364290,2014-08-01
138716,2002-08-18
633375,2017-09-19
345989,2015-10-05
439080,2015-03-13
306686,2003-06-16
456749,2013-05-26
844964,2006-09-10
577044,2013-11-29
846221,2007-12-15
964899,2016-12-08
348454,2006-03-02
606989,2004-10-20
293205,2007-09-13
363593,2014-05-27
734860,2013-10-20
902652,2017-04-21
933710,2014-04-09
767436,2007-10-20
057296,2013-11-24
618307,2002-11-13
631114,2002-04-22
006381,2014-05-29
641420,2011-10-19
202121,2011-10-20
500432,2011-10-21
124056,2007-01-20
925888,2010-10-28
934852,2002-04-02
301517,2015-03-03
988138,2008-10-31
615290,2002-05-02
871447,2007-09-27
025759,2009-07-24
076471,2008-11-02
468704,2009-01-11
802680,2012-10-18
568351,2009-10-09
625586,2016-09-29
561008,2006-01-05
164844,2005-12-06
072951,2014-11-19
057473,2011-08-26
718849,2017-05-07
312124,2012-08-17
696979,2008-10-23
805422,2015-11-04
559699,2011-08-12
109833,2015-08-21
723362,2009-10-12
857125,2015-05-30
480663,2007-12-29
783870,2017-05-13
740388,2007-05-01
868484,2006-02-04
743785,2016-09-05
794260,2003-05-08
208367,2009-05-09
294511,2018-06-23
112956,2010-07-21
543884,2017-09-10
319702,2015-07-11
778877,2015-02-01
808439,2015-04-25
233206,2016-04-29
281982,2008-07-29
962896,2008-10-23
432059,2012-02-17
350575,2018-10-11
745568,2018-04-27
574865,2014-02-26
109297,2008-11-07
629546,2003-03-20
695389,2016-05-17
963171,2014-06-06
453435,2013-07-19
556774,2006-01-01
822414,2016-04-29
555872,2009-08-28
919233,2002-04-09
854153,2014-03-18
584527,2011-01-31
094099,2002-02-14
257186,2011-06-15
806634,2002-06-06
141299,2014-04-03
548464,2007-03-23
721768,2008-10-03
104586,2005-11-29
006874,2005-06-13
695382,2012-02-08
737624,2012-11-06
961675,2007-12-23
381174,2006-05-03
239479,2004-07-12
901514,2004-01-02
084233,2002-05-25
588850,2013-07-13
208841,2013-08-09
675607,2006-05-14
080065,2011-02-22
256245,2013-04-02
354506,2014-06-25
363411,2012-03-02
521823,2015-08-05
831480,2007-10-06
991555,2018-10-03
343883,2014-09-16
264138,2005-12-16
456385,2011-07-13
198573,2003-03-11
797656,2011-02-15
050306,2004-03-16
735681,2008-07-25
720794,2010-05-06
612594,2010-07-28
695778,2013-07-30
536164,2006-02-24
866584,2014-07-22
418213,2006-03-08
499455,2004-12-07
385285,2013-05-08
755968,2006-06-12
272491,2002-06-01
534995,2011-02-11
929751,2004-05-21
261044,2008-01-10
037496,2009-11-09
814772,2018-06-15
805037,2011-08-19
445739,2006-05-12
075860,2012-02-20
295800,2005-05-09
597959,2006-11-29
082068,2015-01-30
687114,2005-09-05
839780,2002-02-13
223789,2016-11-25
637473,2014-03-03
228621,2012-06-04
745236,2013-03-09
674718,2002-04-12
966996,2012-09-10
461391,2015-03-31
310323,2011-01-26
793867,2012-01-27
949117,2014-08-25
979993,2015-06-22
251911,2014-04-25
713396,2013-02-23
284150,2014-12-01
170677,2014-03-27
239244,2010-03-09
002061,2004-03-14
715489,2008-04-23
360872,2010-11-16
237965,2008-01-28
440087,2017-11-02
491188,2015-11-02
921929,2012-02-11
697534,2018-10-30
537615,2013-10-03
021147,2017-02-15
246669,2010-07-17
545277,2014-09-05
900690,2009-07-14
386650,2012-10-05
244675,2004-02-09
510424,2007-06-23
105503,2015-10-01
043270,2013-10-25
148205,2015-01-24
045381,2018-03-24
022294,2011-03-28
563373,2005-10-16
605797,2010-04-22
647494,2009-07-20
978080,2004-04-17
221390,2013-10-04
480380,2018-05-28
796620,2017-12-26
077151,2003-04-19
180083,2007-01-16
297725,2009-08-29
601595,2010-10-09
433134,2002-12-11
939081,2003-03-13
492423,2005-10-22
242965,2012-11-13
303747,2016-10-14
106228,2006-07-31
482406,2006-10-21
857093,2017-03-26
616944,2014-10-07
546813,2006-12-02
368862,2014-06-02
608064,2010-05-24
387114,2009-08-22
697050,2013-05-16
891354,2018-07-04
904141,2017-02-20
686012,2018-11-16
423339,2013-09-18
744146,2017-05-04
239955,2002-07-13
150609,2016-03-14
454457,2005-02-04
078623,2009-07-26
586645,2017-02-15
464579,2016-09-23
078486,2009-05-09
927306,2002-04-29
574136,2004-02-09
335870,2008-01-17
658742,2012-09-27
268725,2012-09-27
051005,2012-09-28
185845,2012-09-28
620944,2012-09-29
084263,2012-09-29
610741,2002-12-25
140723,2009-10-08
762567,2004-02-02
030381,2014-09-08
384425,2016-07-13
263925,2006-02-11
378037,2016-03-18
939442,2005-08-17
421249,2017-04-07
705840,2004-03-30
266608,2016-03-04
045118,2018-01-21
916191,2011-01-13
168165,2009-08-05
221458,2009-03-27
439235,2008-03-20
719384,2009-01-10
768058,2013-05-03
034170,2015-12-25
204004,2010-12-21
830208,2007-02-09
942289,2015-10-28
115612,2017-09-12
467250,2003-12-03
983855,2003-04-01
570895,2006-11-20
151445,2012-11-21
005194,2014-10-07
024896,2015-09-13
550701,2004-03-23
162203,2018-02-12
842864,2002-04-16
068986,2010-12-12
845885,2004-05-27
210018,2010-11-18
191100,2008-11-24
761743,2004-01-06
582954,2006-01-19
887193,2010-05-02
313543,2016-08-16
224061,2007-09-15
121357,2017-03-10
913721,2015-06-10
990337,2008-08-31
401966,2010-03-13
252320,2010-12-06
460282,2008-02-04
032827,2017-04-09
816456,2005-02-15
349477,2013-11-21
124250,2002-07-31
316303,2016-07-19
634745,2017-05-03
322288,2007-05-18
002214,2010-07-25
736209,2017-06-10
577735,2011-06-24
912827,2006-05-27
116557,2013-01-09
193325,2017-07-01
848159,2002-11-16
810044,2011-01-14
304063,2018-04-01
922149,2002-12-18
392236,2013-12-16
131715,2017-03-02
820661,2014-11-30
921187,2007-04-27
616749,2005-12-20
487904,2011-12-18
416931,2015-05-18
831042,2004-06-01
612030,2017-10-18
827873,2015-08-10
402838,2017-12-29
461520,2014-04-07
277685,2011-07-07
435918,2013-05-05
091071,2006-05-30
270754,2004-01-09
508692,2008-11-05
593196,2010-03-25
265136,2018-02-09
372743,2003-02-08
331337,2004-01-09
056233,2015-03-20
303252,2014-09-02
026927,2010-10-15
548062,2016-12-04
114224,2002-06-27
685839,2008-08-24
961973,2017-07-22
257066,2009-05-06
386461,2010-10-07
422805,2015-06-11
097747,2014-04-30
237385,2005-12-24
463965,2004-01-14
778620,2011-08-23
995001,2013-07-07
202369,2013-09-05
661073,2003-01-05
118776,2008-05-27
388783,2015-01-15
407278,2004-09-11
608270,2004-11-09
886369,2007-10-08
096871,2009-04-25
118823,2007-06-15
175966,2013-09-21
141044,2005-04-26
907218,2011-01-01
459292,2008-01-27
758655,2013-07-30
822664,2010-01-24
520402,2010-04-24
726135,2006-02-20
234141,2018-06-16
351619,2005-02-08
488762,2016-07-24
479271,2012-06-18
247495,2013-03-26
861884,2018-01-16
504577,2007-07-06
579184,2008-07-13
482047,2008-01-30
865126,2003-09-02
489628,2009-01-23
267014,2009-11-02
170478,2013-12-19
323484,2004-10-10
974813,2018-09-01
380466,2006-03-17
562587,2010-12-02
135094,2002-07-31
720940,2007-04-26
476354,2004-01-28
376210,2004-02-08
152405,2015-03-28
183603,2010-04-18
978417,2010-04-18
848709,2010-04-19
625904,2010-04-20
422002,2010-04-20
329145,2010-04-20
272776,2013-04-17
238795,2002-05-28
258878,2015-08-14
802185,2017-01-26
834351,2007-10-18
631694,2003-12-12
583411,2008-11-30
052302,2007-08-16
187397,2005-11-20
351430,2011-07-21
013950,2003-03-15
916818,2016-12-07
737430,2003-11-11
158622,2012-01-08
897188,2012-06-11
108922,2017-05-17
176794,2008-04-16
090131,2004-10-15
639861,2007-06-25
371020,2003-12-18
682444,2009-09-01
140519,2008-11-21
217004,2008-11-22
757141,2008-11-23
814424,2008-11-24
250494,2008-11-25
981647,2016-07-11
857440,2011-12-05
921649,2011-10-18
872631,2014-03-08
302514,2015-12-05
871323,2012-10-01
919959,2002-07-26
716982,2017-04-04
569536,2014-05-26
204173,2010-02-07
541216,2013-04-03
117679,2016-12-18
651239,2015-01-06
705777,2011-11-11
465718,2002-11-20
933188,2013-07-13
973707,2012-01-08
267907,2005-02-01
798162,2003-10-11
345553,2004-04-22
854414,2010-02-11
437552,2010-04-06
263296,2016-06-04
088852,2016-11-29
069542,2007-08-31
730256,2007-10-18
